word,meaning,week,article,pages
tricentennial,三百周年,Week27,"On America's 250th, remember your Adam Smith",10-12
intact,完好无损的；未受影响的,Week27,"On America's 250th, remember your Adam Smith",10-12
small-d democratic,广义民主的；非特指某政党的‘民主的’,Week27,"On America's 250th, remember your Adam Smith",10-12
derive ... from,从……获得；源自,Week27,"On America's 250th, remember your Adam Smith",10-12
just powers,正当权力,Week27,"On America's 250th, remember your Adam Smith",10-12
consent,同意；同意授权,Week27,"On America's 250th, remember your Adam Smith",10-12
prioritise / prioritize liberty,将自由置于优先地位,Week27,"On America's 250th, remember your Adam Smith",10-12
inalienable,不可剥夺的,Week27,"On America's 250th, remember your Adam Smith",10-12
a deep belief in,对……的坚定信念,Week27,"On America's 250th, remember your Adam Smith",10-12
individual agency,个人能动性；自主行动能力,Week27,"On America's 250th, remember your Adam Smith",10-12
course through,贯穿；流遍,Week27,"On America's 250th, remember your Adam Smith",10-12
grave,严重的；重大的,Week27,"On America's 250th, remember your Adam Smith",10-12
formula,方案；公式,Week27,"On America's 250th, remember your Adam Smith",10-12
positive-sum,正和的；能让各方受益的,Week27,"On America's 250th, remember your Adam Smith",10-12
disciplined by,受……约束、规范,Week27,"On America's 250th, remember your Adam Smith",10-12
self-interest,自身利益,Week27,"On America's 250th, remember your Adam Smith",10-12
rigged,被操纵的；不公平安排的,Week27,"On America's 250th, remember your Adam Smith",10-12
strongman ruler,强人统治者,Week27,"On America's 250th, remember your Adam Smith",10-12
ever more,越来越；愈发,Week27,"On America's 250th, remember your Adam Smith",10-12
domineering,专横的；盛气凌人的,Week27,"On America's 250th, remember your Adam Smith",10-12
say,比如说；例如（插入语）,Week27,"On America's 250th, remember your Adam Smith",10-12
at the expense of,以……为代价,Week27,"On America's 250th, remember your Adam Smith",10-12
equity stake,股权；持股,Week27,"On America's 250th, remember your Adam Smith",10-12
illiberalism,非自由主义,Week27,"On America's 250th, remember your Adam Smith",10-12
popular support,民众支持,Week27,"On America's 250th, remember your Adam Smith",10-12
semiquincentennial,二百五十周年,Week27,"On America's 250th, remember your Adam Smith",10-12
bipartisan consensus,两党共识,Week27,"On America's 250th, remember your Adam Smith",10-12
hold sway,占主导地位；有支配力,Week27,"On America's 250th, remember your Adam Smith",10-12
entertain the possibility of,考虑、认为……有可能,Week27,"On America's 250th, remember your Adam Smith",10-12
universal opulence,普遍富裕,Week27,"On America's 250th, remember your Adam Smith",10-12
no-growth,零增长的,Week27,"On America's 250th, remember your Adam Smith",10-12
equilibrium,均衡；平衡状态,Week27,"On America's 250th, remember your Adam Smith",10-12
recommit to,再次承诺；重新致力于,Week27,"On America's 250th, remember your Adam Smith",10-12
waver,动摇；减弱,Week27,Universities: public confidence in degrees is wavering,13-15
shore up,支撑；巩固,Week27,Universities: public confidence in degrees is wavering,13-15
weigh against,与……权衡、比较,Week27,Universities: public confidence in degrees is wavering,13-15
life-changing,改变人生的,Week27,Universities: public confidence in degrees is wavering,13-15
beleaguered,处境艰难的；饱受困扰的,Week27,Universities: public confidence in degrees is wavering,13-15
sector,行业；部门,Week27,Universities: public confidence in degrees is wavering,13-15
earnings premium,收入溢价；因学历等带来的额外收入,Week27,Universities: public confidence in degrees is wavering,13-15
worse off,处境更差；经济状况更差,Week27,Universities: public confidence in degrees is wavering,13-15
vindication,证明某观点或做法正确、合理的事,Week27,Universities: public confidence in degrees is wavering,13-15
while,尽管；虽然（引导让步）,Week27,Universities: public confidence in degrees is wavering,13-15
predate,早于；发生在……之前,Week27,Universities: public confidence in degrees is wavering,13-15
terms,条款；条件,Week27,Universities: public confidence in degrees is wavering,13-15
repay,偿还,Week27,Universities: public confidence in degrees is wavering,13-15
arguably,可以说；据理可认为,Week27,Universities: public confidence in degrees is wavering,13-15
write off,注销、核销债务；免除偿还,Week27,Universities: public confidence in degrees is wavering,13-15
low prior attainment,先前学业成绩较低,Week27,Universities: public confidence in degrees is wavering,13-15
mandatory pass,强制性及格要求,Week27,Universities: public confidence in degrees is wavering,13-15
cap,上限；限制,Week27,Universities: public confidence in degrees is wavering,13-15
keep an eye on,密切关注,Week27,Universities: public confidence in degrees is wavering,13-15
life-defining,定义人生、对人生影响深远的,Week27,Universities: public confidence in degrees is wavering,13-15
aside from,除……之外；撇开……,Week27,Universities: public confidence in degrees is wavering,13-15
misplaced,不恰当的；错误的,Week27,Universities: public confidence in degrees is wavering,13-15
precarious,不稳定的；岌岌可危的,Week27,Universities: public confidence in degrees is wavering,13-15
redundancy,裁员；冗余,Week27,Universities: public confidence in degrees is wavering,13-15
in the absence of,在缺乏……的情况下,Week27,Universities: public confidence in degrees is wavering,13-15
demonstrably,可明确证明地；显然地,Week27,Universities: public confidence in degrees is wavering,13-15
